objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
yppc_73,Desperadoes,"Ranson, Rebecca",1976,A group of older women reflect on their lives.,10-18,94,,,Unknown,,,2,FALSE,TRUE,FALSE,,9,2,7,0,
yppc_74,Detours,"Ranson, Rebecca",1979,A group of disabled people try to navigate the world together with the help of friends.,10-18,38,,,Unknown,,This play looks incomplete.,2,FALSE,TRUE,FALSE,,13,4,8,1,
yppc_75,The Devil and the One Armed Man,"Stephens, Jeffryn",1995,A boy sells his soul to the devil to get people to do what he says. It goes about as well as you would expect.,06-18,16,,,Unknown,,,3,FALSE,FALSE,FALSE,,8,3,4,1,
yppc_76,The Devil on Stilts,"Clements, Colin",1937,A woman manipulates her husband's muses and gets a lawsuit withdrawn.,10-18,20,,,"Samuel French, Inc.",,,2,FALSE,TRUE,FALSE,,3,0,3,0,
yppc_77,Devonshire Demons,"Clements, Colin",1937,"People keep disappearing at the Devonshire Downs, an ancestral home in England.",10-18,18,,,"Samuel French, Inc.",,,2,FALSE,TRUE,FALSE,,9,4,4,1,
yppc_78,The Apple Tree,"Bock, Jerry",1966,Love blossoms in these three comedic vignettes exploring the relationship between men and women.,10-18,87,,,Music Theater International,,This might be The Diary of Adam and Eve or it might be,1,FALSE,TRUE,TRUE,,10,3,4,3,
yppc_79,Dionysius and the Cat,"Forrest, Steve",1987,"Dionysius deeply offends the princess, who tries several ways to get her revenge on him.",14-18,69,,,Unknown,,"This play doesn't have any publisher or date, and doesn't appear as having been performed.",1,FALSE,TRUE,FALSE,,12,3,5,4,FALSE
yppc_80,The Doctor In Spite of Himself,"Moliere,",1667,A farcical comedy about a woodcutter named Sganarelle who is forced to pretend to be a doctor turns into a cutting commentary on the bourgeoise.,10-18,37,,,Unknown,,"Multiple versions included. Adapted by Jeffryn Stephens, with additional scene by Anton Chekhov",20,FALSE,FALSE,FALSE,,11,5,3,3,TRUE
yppc_81,Dreamcatcher: A Musical Story for Young Choirs,"Jacobson, John",2013,"What is that I hear whispering in the wind? Can you hear it too? Capture the dreams of the children and the wisdom of the Dreamcatcher as told in this original musical story of peace, harmony, love, joy, hope and charity. But, watch out! For the Trickster is always lurking close by, ready to crush these fragile dreams. This enchanting 30-minute musical is ideal for upper elementary through middle school performers and features eight original songs and a narrative script of poetry and dramatic prose. Dreamcatcher is designed to be performed in a concert setting with young singers on choral risers and minimal staging, or use your imagination and stage it more elaborately. The cast includes an adult storyteller and multiple children's speaking parts that can easily be adapted to fit a variety of performance options. Listen to your heart and discover how your dreams can come true.",04-14,33,,,Hal Leonard,,,1,TRUE,TRUE,FALSE,,4,0,0,4,TRUE
yppc_82,Drifting and Dreaming,"Altman, Forrest",1983,A woman tries to distract herself from disappointment and abandonment issues.,16-18,93,,,Unknown,,Lots of sexual content.,1,FALSE,TRUE,FALSE,,4,2,2,0,TRUE
yppc_83,The Drunken Sisters,"Wilder, Thornton",1957,"The Drunken Sisters is Wilder's satyr play, which followed The Alcestiad, his adaptation of the ancient Greek ""Alcestis"" story. Apollo ventures into the land of the three sisters of Fate who control the threads of each man's life, and here in disguise he tricks the sisters into releasing their death hold on King Admetus. His trick: three flagons of wine, which he declares to be Aphrodite's beauty drink, but which make the sisters drunk. He then foils them with a riddle, releasing the king from their snares – but only with the understanding that another must die in his stead.",10-18,16,,,Dramatists Play Service Inc.,,,5,FALSE,TRUE,TRUE,Adaptation of the ancient Greeek Alcestis story.,4,1,3,0,FALSE
yppc_84,Duet for Two Hands,"Bell, Mary Hayley",1947,A classic thriller about a pioneering surgeon and the sinister results of his work.,10-18,75,,,"Samuel French, Inc.",,Needs preservation work. Current copy taped onto 8 1/2x11 paper in binder. Tape is causing staining and can eventually lead to disintegration.,1,FALSE,TRUE,FALSE,,5,2,3,0,FALSE
yppc_85,"Emil, You're Going to be a Dog","Blais, John",1984,"When people die, they are reincarnated. Some of them are not amused by their reincarnation assignments.",06-14,37,,,Unknown,,,2,FALSE,TRUE,FALSE,,12,7,5,0,FALSE
yppc_86,The Enchanted,"Valency, Maurice",1950,,12-18,68,,,Concord Theatricals,,,6,FALSE,TRUE,TRUE,"Adaptation of the play Intermezzo, written in 1933 by French dramatist Jean Giraudoux.",20,9,11,0,FALSE
yppc_87,An Enemy of the People,"Miller, Arthur",1951,"A small Norwegian town has just begun to win fame and wealth through its medicinal spring waters. Dr. Stockmann, resident physician in charge, discovers that the waters are poisoned. On receiving proof of this, he immediately reports to his associates, but is shocked to find that instead of being thanked, he is looked upon as a dangerous crank, motivated by a desire to prove that his fellow townsmen are wrong, and to bring ruin upon them. As the people who run the local paper do their utmost to urge secrecy and compromise, the determined doctor realizes that the honesty and idealism he has counted upon to make the truth prevail, simply does not exist in the face of selfish “practical” interests. The press will not report his findings; the officials refuse to give him a hearing; he loses his position and the townspeople boycott him; and every weapon of blackmail, slander, and eviction are brought against his family. At the end, the townspeople, gathered around the doctor’s home, throw stones through the windows. Stockmann addresses his family: “But remember now, everybody, you are fighting for the truth and that is why you’re alone. And that makes you strong.""",10-18,108,,,Dramatists Play Service Inc.,,,6,FALSE,TRUE,TRUE,Adaptation of Ibsen's play by Arthur Miller.,13,10,3,0,TRUE
yppc_88,Enchanted Wonders,"Zimet, Sadie",1987,A witch and a group of cats casts a spell so that the cats can be understood by humans.,04-08,16,,,Unknown,,"Incredibly large font, so it's shorter than another play with this page count. This appears to be someone's playwriting class project.",1,FALSE,TRUE,TRUE,"""All Patricia C. Wrede didn’t' write about Cimorene's adventures""",10,1,1,8,FALSE
yppc_89,The Euphio Question,"Vonnegut, Kurt",1951,"Based on Vonnegut’s 1951 short euphiomachinestory from Welcome to the Monkey House, a young physicist discovers radio waves that can make people happy at the flick of a switch. An unscrupulous businessman takes the device in a direction the young physicist never suspected, and the ramifications of his discovery resonate through society, changing it completely – leaving the public wondering what good there is in happiness, when it’s just a button-push away?",12-18,22,,,Unknown,,,4,FALSE,TRUE,TRUE,Adapted from the short storyof the same name by Kurt Vonnegut.,6,3,3,0,FALSE
yppc_90,Extremities,"Mastrosimone, William",1982,"Marjorie is home alone when Raul enters through her unlocked door and attempts to attack and rape her. The tables turn when Marjorie is able to subdue Raul and keep him tied up in her fireplace. When Terry and Patricia, Marjorie's roommates, come home, they are shocked and begin discussing how to handle the situation: call the police or take matters into their own hands?",16-18,61,,,Concord Theatricals,,,1,FALSE,TRUE,TRUE,,4,1,3,0,FALSE
yppc_91,The Faces of Deka,"Niggli, Josefina",1936,A futuristic play where women rule the world.,14-18,19,,,Unknown,,Written by Latina playwright Josefina Niggli under the pseudonym Michael Morgan.,10,FALSE,TRUE,FALSE,,9,1,7,1,FALSE
yppc_92,Fiddler on the Roof,"Stein, Joseph",1964,"The story centers on Tevye, a milkman in the village of Anatevka, who attempts to maintain his Jewish religious and cultural traditions as outside influences encroach upon his family's lives. He must cope with the strong-willed actions of his three older daughters who wish to marry for love; their choices of husbands are successively less palatable for Tevye. An edict of the tsar eventually evicts the Jews from their village.",10-18,105,,,Music Theater International,,"The binder contains multiple notes, registrations from previous children's summer camp programs, and other archival materials.",2,TRUE,TRUE,TRUE,Adapted from the short story Tevye and his Daughters or Tevye the Dairyman by Sholem Aleichem.,16,7,9,0,TRUE
yppc_93,The Fifteen Minute Hamlet,"Stoppard, Tom",1976,"Hamlet, Prince of Denmark, deals with his father's death and mother's remarriage to his uncle.",12-18,16,,,"Samuel French, Inc.",,,4,FALSE,TRUE,TRUE,Adapted from Shakespere's Hamlet.,6,4,2,0,TRUE
yppc_94,Fifth of July,"Wilson, Lanford",1980,"The scene is a sprawling farmhouse in rural Missouri, which is home to Ken, a legless Vietnam veteran, and his lover, Jed, a horticulturist. They are visited by Ken’s sister, June, and her teenage daughter, and by Gwen and John—the former a hard-drinking, pill-popping heiress who aspires to be a rock star, the latter her wary-eyed husband and manager. All are old friends from college days, and former activists who agitated for what they hoped would be a better world. The action centers on Gwen’s offer to buy the farm, which she plans to convert into a recording center, and on Ken’s Aunt Sally, who has come to the family homestead to scatter the ashes of her late husband. Their talk, as the play progresses, is sharp and funny and, in the final essence, deeply revealing of lost hopes and dreams and of the bitterness that must be fought back if one is to perceive the good that life can offer.",12-18,68,,,Dramatists Play Service Inc.,,,1,FALSE,TRUE,FALSE,,8,4,4,0,FALSE
yppc_95,FOB,"Hwang, David Henry",1980,"Grace and Dale are cousins, living in the Los Angeles area and attending college. Dale is fully American, second generation. Grace is first generation and holds the customs of China in higher regard. The arrival of Steve, an exchange student and a newcomer from China, fresh off the boat, forces them to confront a number of conflicting feelings about America, China and themselves. Dale is very confrontational with Steve, mocking his English and manner. And in turn Steve is defiant and even provocative. Grace tries to keep the conflict from escalating but finds herself increasingly drawn to Steve. Grace decides to go with Steve to a school dance and an uneasy truce, of sorts, is reached between Dale and Steve.",14-18,40,,,Dramatists Play Service Inc.,,,1,FALSE,TRUE,FALSE,,3,2,1,0,FALSE
yppc_96,The Forgotten Door,"Falls, Gregory A.",1981,"Jon, a boy from another world, accidentally falls through a forgotten door to Earth losing his memory, but retaining his ability to communicate with animals and hear people's thoughts. He is warned of danger by a deer and narrowly escapes peril throughout his adventure. He happens upon the farm of kindly Mary and Thomas Bean. Jon's supernatural abilities are almost immediately apparent to Mary, and she suspects he is otherworldly. Thomas is skeptical, at first. Word travels fast about a ""genius boy"" staying with the Bean's farm. Mary and Thomas realize there is precious little time to take Jon elsewhere before everyone from threatening neighbors to the CIA tries to get their hands on him. The military and the press are closing in on the house when Jon ""hears"" his father's voice calling him from their world. Jon realizes the door is open again, and without a moment to lose, the three of them steal away through the woods on a moonless night, guided by the voice of Jon's father to seek the forgotten door.",10-18,28,,,"Anchorage Press, Inc.",,,19,FALSE,TRUE,TRUE,Based on the novel by Alexander Key.,14,7,4,3,FALSE
yppc_97,Abu Nuwas: Two Tales from Baghdad,"Winther, Barbara",1976,"In the first story, Abu Nuwas, a Persian poet who lived in Baghdad in the 700s CE, solves a dispute involving stolen shoes. In the second story, he tricks a man who lent him a defective cooking pot.",06-12,10,,,"Plays, Inc.",,,17,FALSE,FALSE,TRUE,Adapted from some of the stories of 1001 Arabian Nights.,7,3,2,2,TRUE
yppc_98,Five Funny and Fabulous Fables and a Couple of Silly Songs,"Stephens, Jeffryn",1982,"Pandora is given a box by the gods, but forbidden to open it. Ander's Cap is a story about a boy who rejects all kinds of gifts in favor of keeping the cap his mother made him.",04-10,16,,,YPPC,,"Two plays and two songs, an adaptation of Hey Diddle Diddle and Herman.",1,TRUE,FALSE,TRUE,Adapted from Pandora's Jar.,27,8,8,11,TRUE
